Swindon,52.51274,-2.205945,Swindon,Smestow Brook,severe
Thacka Beck Reservoir,54.668303,-2.76746,"Townhead, Penrith",Thacka Beck,severe
Great Bridgford,52.839744,-2.174088,Great Bridgeford,River Sow,severe
Penkridge,52.727805,-2.117669,Penkridge,River Penk,severe
Hatterell Bridge,50.965045,-0.323238,West Grinstead,Adur,high
Northern Moor,53.407591,-2.294665,Northern Moor,Baguley Brook,high
Smithy Houses,53.019889,-1.425573,Smithy Houses,Bottle Brook,high
Hellingly,50.888318,0.244134,Hellingly,Bull,high
Lodsbridge,50.983264,-0.669759,Selham,Lod,high
Castle Mill (Bedford),52.145596,-0.405558,Bedford,River Great Ouse,high
Delph,53.566913,-2.021999,Delph,Tame,high
Beal Bridge,53.59901,-2.095119,Newhey,Beal,high
Kinnersley Manor,51.201071,-0.194473,Sidlow,Mole,high
Dalton,54.183434,-1.354871,Dalton,Cod Beck,moderate
Collyhurst Weir,53.493682,-2.229815,Manchester,Irk,low
Marsden,53.601624,-1.927299,Marsden,River Colne,low
Ashbourne,53.013888,-1.738962,Ashbourne,Henmore Brook,low
Glusburn Bridge,53.897872,-2.008295,Glusburn,Eastburn Beck,low
Cowbeech,50.912658,0.290758,Cowbeech,Cuckmere,low
Leabridge,50.895273,0.24023,Lealands,Bull,low
Tanbridge,51.061034,-0.335071,Tanbridge,Arun,low
Gurney Street,53.481022,-2.212509,Ancouts,Medlock,low
Melbourne Park Carlisle,54.889748,-2.913769,Melbourne Park Carlisle,River Petteril,low
Cam,51.699985,-2.360238,Cam,River Cam,low
Ashburton Upper,50.521452,-3.756985,Ashburton,River Ashburn,low
Poynton,53.341282,-2.127615,Poynton,Poynton Brook,low
Waggon Road,53.514723,-2.038394,Mossley,Tame,low
Wightwick,52.582389,-2.192192,Wightwick,Smestow Brook,low
